UnqID,Do You,Even,Lift,Bro,Dont,Taze,Me,Bro,Were ,Gonna,Need,A ,Bigger,Boat
1,,,,,,,,,,,,,,
2,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,,,
3,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,
4,TRUE,TRUE,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5,,TRUE,,,,,,,TRUE,TRUE,,,,
6,TRUE,TRUE,,,,,,,,,,,,
7,,,,TRUE,,,,TRUE,TRUE,,,TRUE,TRUE,
8,TRUE,,TRUE,,,,,,TRUE,,,TRUE,TRUE,TRUE
9,,TRUE,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,,,,,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE
12,TRUE,TRUE,,,TRUE,,,,,TRUE,,TRUE,TRUE,
13,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE
14,TRUE,,,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE
15,,,,TRUE,,TRUE,,TRUE,,TRUE,,,,TRUE
16,,,,TRUE,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,
17,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,
18,,TRUE,,,,TRUE,TRUE,,,TRUE,TRUE,,,
19,,TRUE,,TRUE,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE
20,,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,
21,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE
22,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
23,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,,,
24,TRUE,,,,,TRUE,,,,TRUE,TRUE,,,
25,TRUE,,,,,,,,TRUE,TRUE,,,,
26,TRUE,TRUE,,,,,,,,,TRUE,,,
27,,TRUE,,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,
28,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,
29,TRUE,,,TRUE,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE
30,TRUE,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
31,,,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE
32,,,,,,,,,,,,TRUE,TRUE,TRUE
33,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
34,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,
35,,,,,,,,,TRUE,,TRUE,,,
36,,,,,,TRUE,,,,,TRUE,,,TRUE
37,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,TRUE,,,
38,TRUE,,,,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE
39,TRUE,,,TRUE,,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE
40,TRUE,,,,,,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE
